Object,RA,DEC,Class
AM 0117-520,01 19 28.4400,-51 46 47.700,PRG
AM 0119-340,01 21 17.4100,-33 50 23.000,PRG
AM 0126-525,01 28 25.3300,-52 38 09.300,PRG
AM 0126-680,01 28 02.9300,-67 50 36.600,PRG
AM 0131-434,01 31 31,-43 49.7,PRG
AM 0141-362,01 43 44.3900,-36 05 19.800,PRG
AM 0144-583,01 46 34.0400,-58 15 29.800,PRG
AM 0146-321,01 49 04.5800,-31 59 46.800,PRG
AM 0147-350,01 49 43.7000,-34 49 51.900,PRG
AM 0147-561,01 49 27.9500,-56 03 12.200,PRG
AM 0154-353,01 57 09.0000,-35 18 48.400,PRG
AM 0155-815,01 52 41.9400,-81 37 52.000,PRG
AM 0157-311,01 59 39.5300,-31 01 13.100,PRG
AM 0200-581,02 01 50.6300,-57 56 54.100,PRG
AM 0203-325,02 05 46.3400,-32 40 35.200,PRG
AM 0207-374,02 09 44.2548,-37 33 04.928,PRG
AM 0212-250,02 14 49.07,-24 51 01.67,PRG
AM 0215-485,02 17 16.4200,-48 42 48.100,PRG
AM 0226-320,02 28 20.1100,-31 52 51.700,PRG
AM 0227-484,02 29 16.1100,-48 29 28.500,PRG
AM 0229-444,02 31 38.7900,-44 31 27.500,PRG
AM 0230-581,02 31 36.6700,-58 01 00.300,PRG
AM 0236-273,02 39 03.5500,-27 26 35.300,PRG
AM 0236-310,02 38 45.1500,-30 48 23.400,PRG
AM 0240-242,02 42 32.1500,-24 13 51.500,PRG
AM 0241-424,02 43 16.6662,-42 34 24.562,PRG
AM 0302-273,03 02 59,-27 31.8,PRG
AM 0302-504,03 03 23.74,-50 29 52.72,PRG
AM 0304-255,03 06 45.3600,-25 42 59.200,PRG
AM 0305-824,03 01 44.9600,-82 35 30.800,PRG
AM 0310-252,03 12 13.3545,-25 12 10.413,PRG
AM 0318-610,03 19 37.5700,-60 57 00.500,PRG
AM 0319-542,03 20 39.2858,-54 17 39.406,PRG
AM 0320-495,03 21 55.77,-49 48 01.38,PRG
AM 0322-374,03 23 54.2112,-37 30 33.026,PRG
AM 0329-715,03 29 43.6800,-71 45 25.400,PRG
AM 0330-324,03 32 49.2900,-32 40 07.300,PRG
AM 0332-305,03 34 16.8000,-30 43 57.100,PRG
AM 0332-324,03 34 57.28,-32 38 25.03,PRG
AM 0334-460,03 36 36.8700,-45 57 21.600,PRG
AM 0339-625,03 40 39.4000,-62 46 44.000,PRG
AM 0341-360,03 43 37.0800,-35 51 10.900,PRG
AM 0343-383,03 45 02.0800,-38 22 56.600,PRG
AM 0345-335,03 47 04.8100,-33 42 35.500,PRG
AM 0346-570,03 47 42.8400,-56 57 07.500,PRG
AM 0352-360,03 54 28.4500,-35 58 01.700,PRG
AM 0401-641,04 01 42.8200,-64 05 45.100,PRG
AM 0403-555,04 04 16.7000,-55 46 08.000,PRG
AM 0403-702,04 03 03.6100,-70 14 37.900,PRG
AM 0404-271,04 06 29.0100,-27 09 20.500,PRG
AM 0411-575,04 12 43.2500,-57 44 16.700,PRG
AM 0411-680,04 11 20.21,-67 55 15.40,PRG
AM 0412-525,04 13 50.63,-52 47 42.15,PRG
AM 0413-380,04 15 27.0000,-38 01 10.000,PRG
AM 0413-590,04 14 27.0845,-58 57 56.571,PRG
AM 0414-491,04 16 08.1137,-49 11 20.203,PRG
AM 0415-475,04 16 30.0600,-47 50 55.600,PRG
AM 0417-391,04 19 39.3653,-39 10 24.025,PRG
AM 0420-440,04 22 12.8400,-43 58 17.600,PRG
AM 0422-473,04 24 21.0100,-47 31 35.500,PRG
AM 0425-421,04 26 40.8000,-42 05 39.000,PRG
AM 0426-484,04 28 02.2000,-48 43 02.000,PRG
AM 0428-450,04 30 21.2900,-45 01 35.200,PRG
AM 0432-625,04 32 33.7200,-62 51 48.000,PRG
