,Object,RA,DEC,Class,S-Plus
94,HRG 03101,04 00 06.8900,-73 42 26.300,PRG,True
95,HRG 05201,01 53 29.57,-72 33 37.33,PRG,True
96,HRG 11701,03 57 51.74,-59 31 35.42,PRG,True
97,HRG 11702,03 58 27.8900,-59 31 45.600,PRG,True
98,HRG 11801,04 09 02.55,-59 06 30.66,PRG,True
99,HRG 15701,04 12 43.15,-57 44 14.71,PRG,True
100,HRG 15702,04 28 41.67,-54 43 01.05,PRG,True
101,HRG 15703,04 35 11.89,-54 12 19.41,PRG,True
102,HRG 15704,04 45 31.72,-54 34 23.67,PRG,True
103,HRG 20201,04 16 09.63,-49 13 48.18,PRG,True
104,HRG 20202,04 24 31.62,-49 34 28.39,PRG,True
105,HRG 30101,03 23 54.2112,-37 30 33.026,PRG,True
106,HRG 35002,00 37 41.1100,-33 42 58.800,PRG,True
107,HRG 35201,01 15 00.60,-32 14 35.73,PRG,True
108,HRG 36101,04 39 38.5898,-37 02 58.327,PRG,True
109,HRG 36102,04 44 07.14,-32 54 35.13,PRG,True
110,HRG 37501,10 29 45.37,-38 20 54.92,PRG,True
111,HRG 41101,00 51 51.66,-30 40 00.21,PRG,True
112,HRG 41102,00 56 52.17,-31 57 46.07,PRG,True
113,HRG 53001,21 09 04.8800,-26 54 29.400,PRG,True
114,HRG 56801,10 21 45.01,-18 24 37.66,PRG,True
115,HRG 57201,11 43 13.66,-18 24 03.79,PRG,True
116,HRG 57202,11 50 27.56,-18 34 47.38,PRG,True
117,HRG 57203,11 54 54.86,-22 03 16.10,PRG,True
118,HRG 57204,11 59 44.4420,-20 58 15.748,PRG,True
119,HRG 57205,12 00 31.13,-21 19 17.55,PRG,True
120,HRG 57206,12 00 43.4100,-20 50 02.200,PRG,True
121,NGC 442,01 14 38.65,-01 01 12.68,PRG,True
122,NGC 5122,13 24 14.9,-10 39 15,PRG,True
123,NGC 7016,21 07 20.47,-25 29 14.11,PRG,True
124,OA 01103,22 48 28.02,-58 15 00.95,PRG,True
125,OA 02801,00 51 44.41,-30 37 27.60,PRG,True
126,OA 02802,00 57 00.58,-31 55 07.56,PRG,True
127,OA 03601,21 05 40.06,-25 13 54.92,PRG,True
128,OA 03602,21 05 43.89,-25 14 14.39,PRG,True
129,OA 03603,21 06 07.27,-25 20 55.70,PRG,True
130,SPRC 1,00 09 11.58,-00 36 54.7,PRG,True
131,SPRC 129,13 23 58.77,-01 45 52.7,PRG,True
132,SPRC 261,12 01 43.47,+00 10 59.2,PRG,True
133,SPRC 265,13 20 22.67,-00 24 07.6,PRG,True
134,SPRC 275,20 53 53.46,-00 58 05.4,PRG,True
135,SPRC 4,02 42 58.43,-00 57 09.2,PRG,True
136,SPRC 69,20 48 05.67,+00 04 07.8,PRG,True
137,SPRC 73,00 32 09.80,+01 08 36.6,PRG,True
138,SPRC 76,01 21 29.32,+00 37 28.7,PRG,True
139,SPRC 77,01 58 58.39,-00 29 23.3,PRG,True
